Question Number,Question,Answer,Category,Difficulty
1,What is polymorphism in Object-Oriented Programming?,"Polymorphism allows objects of different classes to be treated as instances of a common superclass, enabling method overriding.",Programming Concepts,Medium
2,Explain encapsulation with an example.,"Encapsulation bundles data and methods inside a class, restricting direct access. Example: private variables with public getters/setters.",Programming Concepts,Hard
3,What is inheritance in OOP?,"Inheritance enables a new class to acquire properties and behaviors of an existing class, promoting code reuse.",Programming Concepts,Easy
4,Define abstraction in programming.,"Abstraction hides complex implementation details and exposes only the necessary features of an object or system.",Programming Concepts,Medium
5,What is the purpose of a constructor?,"A constructor initializes a new object’s state when an instance of a class is created.",Programming Concepts,Easy
6,Describe the difference between compilation and interpretation.,"Compilation translates the entire source code into machine code before execution; interpretation translates and executes code line-by-line.",Programming Concepts,Medium
7,Explain the SOLID principles briefly.,"SOLID is a set of design principles: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.",Programming Concepts,Hard
8,What is recursion in programming?,"Recursion is when a function calls itself to solve a smaller instance of the same problem, with a base case to stop.",Programming Concepts,Medium
9,What is a design pattern? Name two examples.,"Design patterns are reusable solutions to common software design problems. Examples: Singleton, Factory.",Programming Concepts,Medium
10,Explain the DRY principle.,"DRY stands for 'Don't Repeat Yourself' — avoiding duplicate code by reusing logic.",Programming Concepts,Easy
11,What is a linked list?,"A linked list is a linear data structure where each node points to the next node, allowing dynamic size.",Data Structures & Algorithms,Medium
12,Explain the difference between an array and a linked list.,"Arrays have fixed size and contiguous memory; linked lists have dynamic size with nodes linked via pointers.",Data Structures & Algorithms,Easy
13,What is a binary search tree (BST)?,"A BST is a tree where left child nodes are smaller and right child nodes are larger than the parent node.",Data Structures & Algorithms,Medium
14,Describe how binary search works.,"Binary search divides a sorted array into halves to locate a target value in O(log n) time.",Data Structures & Algorithms,Medium
15,What is a hash table?,"A hash table stores key-value pairs and uses a hash function for fast O(1) average lookup.",Data Structures & Algorithms,Medium
16,Explain the concept of dynamic programming.,"Dynamic programming solves problems by breaking them into subproblems and storing results to avoid redundant computations.",Data Structures & Algorithms,Hard
17,What is time complexity?,"Time complexity measures the time an algorithm takes relative to input size, usually expressed in Big O notation.",Data Structures & Algorithms,Medium
18,Describe quicksort algorithm.,"Quicksort picks a pivot, partitions the array around it, and recursively sorts the partitions.",Data Structures & Algorithms,Hard
19,Explain merge sort briefly.,"Merge sort divides the list into halves, sorts each half, and merges them back in order.",Data Structures & Algorithms,Medium
20,What is a stack and how is it used?,"A stack is a LIFO data structure used for managing function calls and undo operations.",Data Structures & Algorithms,Easy
21,What is a RESTful API?,"RESTful APIs use HTTP methods to perform CRUD operations, following stateless client-server architecture.",Web & Frameworks,Medium
22,Explain the MVC architectural pattern.,"MVC divides an app into Model (data), View (UI), and Controller (logic) to separate concerns.",Web & Frameworks,Medium
